E3M4, D15, muMT, VSG-421, 18.1107808952
E3M4, D15, muMT, VSG-4156, 80.6240725404
E3M6, D15, WT, VSG-4156, 0.0542769735822
E3M6, D15, WT, VSG-421, 0.0744256157013
E2M9, D15, muMT, VSG-4156, 84.494010253
E2M9, D15, muMT, VSG-421, 14.0943329573
E1M7, D15, WT, VSG-421, 0.0687372517503
E1M7, D15, WT, VSG-4156, 0.110815572125
E2M1, D15, WT, VSG-4156, 0.160737811433
E2M1, D15, WT, VSG-421, 0.122360254324
E3M10, D15, WT, VSG-421, 0.0228206177539
E3M10, D15, WT, VSG-4156, 0.0829768238566
E2M5, D15, WT, VSG-421, 0.550288924501
E2M5, D15, WT, VSG-4156, 0.867011191129
E2M2, D15, WT, VSG-4156, 0.137986126845
E2M2, D15, WT, VSG-421, 0.0930147653792
E3M9, D15, WT, VSG-421, 13.5134174981
E3M9, D15, WT, VSG-4156, 29.5671705827
E2M8, D15, muMT, VSG-4156, 31.8991227921
E2M8, D15, muMT, VSG-421, 63.4380256813
E1M8, D15, WT, VSG-421, 0.105596980161
E1M8, D15, WT, VSG-4156, 0.105837966348
E3M3, D15, muMT, VSG-4156, 7.43725134287
E3M3, D15, muMT, VSG-421, 87.5406562667
E2M4, D15, WT, VSG-421, 0.564211730724
E2M4, D15, WT, VSG-4156, 1.83718337698
E1M10, D15, WT, VSG-421, 0.148919999552
E1M10, D15, WT, VSG-4156, 3.23928654008
E3M7, D15, WT, VSG-4156, 0.0733431406795
E3M7, D15, WT, VSG-421, 0.100448314075
E2M6, D15, muMT, VSG-4156, 94.5042293556
E2M6, D15, muMT, VSG-421, 3.9519273476
E1M5, D15, muMT, VSG-4156, 92.0798856292
E1M5, D15, muMT, VSG-421, 5.39434698003
E3M8, D15, WT, VSG-4156, 1.46123685975
E3M8, D15, WT, VSG-421, 0.432368221369
E2M7, D15, muMT, VSG-421, 3.35846644122
E2M7, D15, muMT, VSG-4156, 96.1706328726
E1M4, D15, muMT, VSG-421, 1.18637066985
E1M4, D15, muMT, VSG-4156, 95.6624409036
E2M3, D15, WT, VSG-4156, 0.0785689488161
E2M3, D15, WT, VSG-421, 0.0786470754626
